home_off_k,home_off_bb,home_off_chit,home_off_hr,away_off_k,away_off_bb,away_off_chit,away_off_hr,home_sp_k,home_sp_bb,home_sp_chit,home_sp_stam,away_sp_k,away_sp_bb,away_sp_chit,away_sp_stam,home_pen_k,home_pen_bb,home_pen_chit,away_pen_k,away_pen_bb,away_pen_chit,park_runs,park_hr,sim_home_wp,sim_total,home_won,actual_total,date
0.2166423584300309,0.08713122756320064,0.31131549624658833,0.14380441499906163,0.21860358994884255,0.08363784175865177,0.31724777980731994,0.14901550467930885,0.22570608967436248,0.08149173316916639,0.33428517296055316,23.0,0.22222737892987254,0.07922114453720369,0.31092405266125445,24.0,0.18774756756368083,0.10110169315089057,0.31497698880028047,0.22213605384147392,0.08830755235488941,0.3111303767965327,100,101,0.5166666666666667,9.053333333333333,1,11,2026-06-13
0.2355863532004112,0.08250124126972645,0.3333400314597066,0.15074240935467043,0.22360290989181011,0.09266556408874883,0.3239434366280201,0.13078892903440031,0.21598018791353518,0.08891075489240616,0.31261923459862306,22.0,0.1979618742956204,0.07128227817950564,0.34140343616673535,25.0,0.2301737165132282,0.09628817501431608,0.3157607481676439,0.20413024051771425,0.0933533602413977,0.34121347492150406,96,96,0.6533333333333333,9.046666666666667,1,12,2026-06-13
0.21521416328577336,0.09093540668287053,0.320549241725275,0.13857421624163752,0.2105812982691903,0.10363735742545022,0.326860559319876,0.16093894041626822,0.22815185076185165,0.08859206034694855,0.30769005645484926,23.0,0.2476908648843736,0.0736790270566733,0.2834792241682471,25.0,0.22013557820724988,0.10483857538918738,0.30041342403334115,0.24625653798756797,0.09629214258852511,0.31268467378150466,99,103,0.4766666666666667,8.12,0,8,2026-06-13
0.2201277339375522,0.08800921768705133,0.31586401274864745,0.1429093011181716,0.21307600041999286,0.08002229669880004,0.3144957030847398,0.14384659534711097,0.24216099833832294,0.09130127484002479,0.3046627705549987,23.0,0.20850773123289273,0.07669536113439784,0.29963879153224215,26.0,0.23454767395118792,0.08321622690186184,0.30523382109746344,0.23835925709269268,0.08430925606067022,0.29691000560979763,98,97,0.5466666666666666,7.683333333333334,1,9,2026-06-14
0.222132663943391,0.0898973328341863,0.32393972830261647,0.144376588512931,0.20621291408136974,0.09671708059340299,0.31738816830390815,0.12696126628040882,0.21664141929668737,0.09684000254165578,0.33426733240635687,22.0,0.21460288663046073,0.0809041421284244,0.31731375649147325,17.0,0.22595490255626788,0.11702601421616307,0.3160485676316942,0.2244382109693377,0.09061713045552222,0.3155392796094698,100,103,0.5266666666666666,9.78,0,11,2026-06-14
0.21566393279173302,0.09792802930601847,0.320062701907709,0.14858050438390158,0.22966459934840966,0.08039990552051884,0.3181124468479879,0.1285001044541304,0.20479306477088438,0.07535940821529324,0.3124878879958187,23.0,0.1734789674696821,0.07363809624319885,0.31254588138942985,24.0,0.22922054482339102,0.09684287045976449,0.31490620846075756,0.20380581704811795,0.09421948923486018,0.3399498718788677,96,96,0.6,9.013333333333334,0,32,2026-06-14
0.21674785229092108,0.09019619247343941,0.3146793822129613,0.14680291993612476,0.22335094766755642,0.08756813549135206,0.31467880048958613,0.16225592265469396,0.21474182675127562,0.09551164782406094,0.3063336257717715,17.0,0.2478239479496998,0.07664744596266829,0.3139325452315042,22.0,0.2199747545418647,0.10613175407031632,0.30023950261144483,0.24596150859531987,0.09617048053693344,0.31216188070448286,99,103,0.43666666666666665,8.58,1,10,2026-06-14
0.21330268050368428,0.08336652862656749,0.31252013977029225,0.15070794242894386,0.21120194658650615,0.08580575559840381,0.32626963497748696,0.14262726722963626,0.23151339794347048,0.09516161797474697,0.3236710267385234,24.0,0.18882224282405105,0.0703696740443611,0.30047887272659435,24.0,0.20690315462107703,0.1053877554388365,0.32711466878294826,0.21730143817723035,0.09488751140675472,0.3058460222313385,100,100,0.44666666666666666,9.626666666666667,1,9,2026-06-14
0.2116814855421777,0.09500211040721629,0.32140884033054923,0.13419227117237617,0.21785383249980222,0.0895580444236684,0.32395714448549356,0.12668218122389038,0.26760198040581873,0.06472218797904891,0.2976153909397311,24.0,0.24155849275459298,0.08653402115869238,0.29675255645713905,24.0,0.22805098724964057,0.10509236422072418,0.3038977188704351,0.23554575127922345,0.10514407602182815,0.2897348759819375,99,92,0.6066666666666667,7.3,0,6,2026-06-14
0.20609417721239298,0.08329278503728949,0.3258396632946135,0.1408911076275342,0.21405836154140634,0.09028245102336091,0.3193814292057911,0.14649655274384268,0.1973696553963888,0.08375848008520276,0.32059520345580583,22.5,0.23743241231004028,0.08173127830091659,0.3179884409625655,23.5,0.2384710453963761,0.09270758490513034,0.31006461917681544,0.23215961322660356,0.09304939490672817,0.3138331386622615,101,102,0.54,9.7,0,11,2026-06-14
